Name;Used By;Type;Default;Minimum;Notes
style;ENCG;style;;;all
stylesheet;G;string;"";;svg only
tailURL;E;escString;"";;svg, map only
tail_lp;E;point;;;write only
tailclip;E;bool;true;;all
tailhref;E;escString;"";;svg, map only
taillabel;E;lblString;"";;all
tailport;E;portPos;center;;all
tailtarget;E;escString;<none>;;svg, map only
tailtooltip;E;escString;"";;svg, cmap only
target;ENGC;escString;<none>;;svg, map only
target;ENGC;string;;;svg, map only
tooltip;NEC;escString;"";;svg, cmap only
truecolor;G;bool;;;bitmap output only
vertices;N;pointList;;;write only
viewport;G;viewPort;"";;all
voro_margin;G;double;0.05;0.0;not dot
weight;E;int;1;0(dot);all
weight;E;double;;1(neato,fdp);all
width;N;double;0.75;0.01;all
xlabel;EN;lblString;"";;all
xlp;NE;point;;;write only
z;N;double;0.0;-MAXFLOAT;all
z;N;double;0.0;-1000;all
